code,city,country,lat,lon,value,value2
ZNZ,ZANZIBAR,TANZANIA,-6.13,39.31,89.70471813,1.592718277
TYO,TOKYO,JAPAN,35.68,139.76,13.31629849,15.35744146
AKL,AUCKLAND,NEW ZEALAND,-36.85,174.78,53.98910923,9.941040208
BKK,BANGKOK,THAILAND,13.75,100.48,60.62260737,49.86456525
DEL,DELHI,INDIA,29.01,77.38,95.55581944,31.41520344
SIN,SINGAPORE,SINGAPOR,1.36,103.75,15.90827748,28.88594173
BSB,BRASILIA,BRAZIL,-15.67,-47.43,11.30516753,65.99688854
RIO,RIO DE JANEIRO,BRAZIL,-22.9,-43.24,92.28417654,93.23759294
YTO,TORONTO,CANADA,43.64,-79.4,23.77011239,58.93100937
IPC,EASTER ISLAND,CHILE,-27.11,-109.36,8.280338714,56.46349067
SEA,SEATTLE,USA,47.61,-122.33,3.757816034,34.7744813
