country,city,clicks,views,lat,lng
United States of America,Los Angeles,273.0,139826,33.98997825,-118.1799805
United States of America,New York,528.0,152616,40.74997906,-73.98001693
United States of America,Chicago,284.0,133435,41.82999066,-87.75005497
United States of America,Seattle,225.0,98708,47.57000205,-122.339985
United States of America,Portland,180.0,94782,43.67216158,-70.2455274
United States of America,Portland,180.0,94782,45.52002382,-122.6799901
United States of America,San Francisco,121.0,69731,37.74000775,-122.4599777
United States of America,Denver,196.0,84585,39.73918805,-104.984016
United States of America,Houston,217.0,90791,29.81997438,-95.33997929
United States of America,Philadelphia,174.0,77948,39.99997316,-75.16999597
United States of America,Minneapolis,134.0,73497,44.97997927,-93.25178634
United States of America,Austin,117.0,71770,30.26694969,-97.74277836
Canada,Toronto,180.0,69583,43.69997988,-79.42002079
United States of America,San Diego,104.0,49835,32.82002382,-117.1799899
United States of America,Atlanta,167.0,66075,33.83001385,-84.39994938
United States of America,San Jose,106.0,46429,37.29998293,-121.8499891
United States of America,Phoenix,117.0,49344,33.53997988,-112.0699917
United States of America,Arlington,104.0,49931,32.68476076,-97.02023849
United States of America,Miami,136.0,44596,25.7876107,-80.22410608
United States of America,Charlotte,105.0,46430,35.20499453,-80.83003809
United States of America,Dallas,116.0,45415,32.82002382,-96.84001693
United States of America,Las Vegas,101.0,36878,35.59701194,-105.2225027
United States of America,Las Vegas,101.0,36878,36.20999778,-115.2200061
United States of America,Oakland,74.0,33182,37.76892071,-122.2211034
United States of America,Columbus,84.0,41815,32.47043276,-84.98001734
United States of America,Columbus,84.0,41815,39.97997438,-82.9900096
Singapore,Singapore,48.0,46367,1.293033466,103.8558207
United States of America,Pittsburgh,99.0,39255,40.4299986,-79.99998539
United States of America,Sacramento,60.0,28553,38.57502138,-121.4700381
United States of America,Louisville,112.0,37623,38.22501691,-85.74870427
United States of America,Salt Lake City,70.0,31994,40.7750163,-111.9300519
United States of America,Boston,79.0,34568,42.32996014,-71.07001367
United States of America,Madison,81.0,37958,43.07301556,-89.40111699
United States of America,Tucson,79.0,33336,32.20499676,-110.8899862
United States of America,Albuquerque,95.0,32448,35.10497479,-106.6413308
United States of America,Richmond,72.0,33927,39.82889833,-84.89028121
United States of America,Richmond,72.0,33927,37.55001935,-77.449986
United States of America,San Antonio,78.0,35087,29.48733319,-98.50730534
United States of America,Baltimore,72.0,29961,39.29999005,-76.61998499
United States of America,Orlando,63.0,31069,28.50997683,-81.38003036
United States of America,Rochester,79.0,31293,44.02205324,-92.46968937
