country,city,clicks,views
United States of America,Los Angeles,0.0,744
United States of America,New York,4.0,748
United States of America,Seattle,1.0,678
United States of America,Chicago,0.0,723
United States of America,Portland,0.0,426
United States of America,Portland,0.0,426
United States of America,San Francisco,2.0,231
United States of America,Houston,1.0,394
United States of America,Philadelphia,0.0,365
United States of America,Austin,0.0,261
United States of America,San Diego,0.0,313
United States of America,Denver,1.0,320
United States of America,Minneapolis,0.0,355
United States of America,San Jose,0.0,311
United States of America,Atlanta,0.0,336
Canada,Toronto,0.0,284
United States of America,Las Vegas,0.0,133
United States of America,Las Vegas,0.0,133
United States of America,Oakland,0.0,195
United States of America,Miami,0.0,60
United States of America,Columbus,0.0,180
United States of America,Columbus,0.0,180
Singapore,Singapore,0.0,234
United States of America,Charlotte,0.0,153
United States of America,Phoenix,2.0,329
United States of America,Dallas,1.0,136
United States of America,Richmond,1.0,105
United States of America,Richmond,1.0,105
United States of America,Arlington,1.0,158
United States of America,Rochester,0.0,156
United States of America,Rochester,0.0,156
United States of America,Orlando,1.0,124
United States of America,Boston,0.0,130
United States of America,Pittsburgh,0.0,114
United States of America,Indianapolis,0.0,59
United States of America,Louisville,1.0,108
United States of America,Cincinnati,1.0,69
United States of America,Sacramento,1.0,158
United States of America,Ann Arbor,0.0,45
United States of America,Madison,0.0,125
Canada,Calgary,2.0,158
United States of America,Springfield,0.0,80
United States of America,Springfield,0.0,80
United States of America,Springfield,0.0,80
United States of America,Springfield,0.0,80
United States of America,Springfield,0.0,80
United States of America,San Antonio,0.0,184
United States of America,Salt Lake City,1.0,96
United States of America,Boise,0.0,55
Canada,Ottawa,0.0,38
United States of America,Wilmington,0.0,75
United States of America,Wilmington,0.0,75
Canada,Winnipeg,1.0,140
United States of America,Colorado Springs,0.0,86
United States of America,Newark,0.0,46
United States of America,Raleigh,0.0,88
United States of America,Fayetteville,0.0,71
United States of America,Fayetteville,0.0,71
United States of America,Buffalo,0.0,106
United States of America,Columbia,0.0,111
United States of America,Columbia,0.0,111
United States of America,Columbia,0.0,111
United States of America,Nashville,0.0,132
United States of America,Alexandria,0.0,58
United States of America,Alexandria,0.0,58
United States of America,Canton,0.0,61
United States of America,Kansas City,1.0,105
United States of America,Kansas City,1.0,105
United States of America,Baltimore,0.0,79
United States of America,Pasadena,0.0,53
United States of America,Pasadena,0.0,53
United States of America,Lynchburg,0.0,20
United States of America,Charleston,0.0,19
United States of America,Charleston,0.0,19
United States of America,Fort Lauderdale,0.0,63
United States of America,Bremerton,0.0,11
Ireland,Dublin,0.0,18
United States of America,Grand Rapids,0.0,23
United States of America,Medford,0.0,55
Canada,Edmonton,0.0,78
United States of America,Knoxville,0.0,33
United States of America,Honolulu,0.0,88
United States of America,Omaha,1.0,160
United States of America,Laurel,0.0,28
United States of America,Lancaster,0.0,42
United States of America,Lancaster,0.0,42
United States of America,Lancaster,0.0,42
United States of America,Virginia Beach,0.0,132
United States of America,Durham,0.0,26
Peru,Lima,0.0,16
United States of America,Duluth,0.0,57
United States of America,Milwaukee,0.0,86
United States of America,Olympia,0.0,73
United States of America,Albuquerque,0.0,268
United States of America,Santa Cruz,0.0,92
United States of America,Asheville,1.0,48
United States of America,Scottsdale,0.0,72
United Kingdom,London,0.0,14
United States of America,Irvine,0.0,57
United States of America,Tallahassee,0.0,34
United States of America,Oklahoma City,0.0,37
United States of America,Greenville,1.0,39
United States of America,Greenville,1.0,39
United States of America,Greenville,1.0,39
United States of America,Birmingham,2.0,68
Canada,Vancouver,0.0,96
United States of America,Eureka,0.0,34
United States of America,Des Moines,0.0,12
United States of America,Boulder,0.0,31
United States of America,Berkeley,0.0,104
United States of America,New Orleans,0.0,143
United States of America,Riverside,0.0,50
United States of America,Lexington,0.0,46
United States of America,Aurora,1.0,102
United States of America,Aurora,1.0,102
United States of America,Cleveland,0.0,70
United States of America,Lincoln,0.0,24
United States of America,Jackson,0.0,38
United States of America,Jackson,0.0,38
United States of America,Tampa,1.0,65
New Zealand,Auckland,0.0,37
United States of America,Marietta,0.0,60
United States of America,Lansing,1.0,16
United States of America,Greensboro,0.0,8
Australia,Brisbane,0.0,12
United Kingdom,Glasgow,0.0,18
United States of America,Bloomington,0.0,83
United States of America,Bloomington,0.0,83
United States of America,Jacksonville,1.0,94
United States of America,Jacksonville,1.0,94
United States of America,Mobile,0.0,31
United States of America,Tucson,0.0,110
United States of America,Wichita,1.0,43
United States of America,Bozeman,0.0,18
United States of America,Las Cruces,0.0,17
United States of America,Bakersfield,1.0,65
Japan,Tokyo,0.0,59
United States of America,San Marcos,0.0,16
United States of America,Decatur,0.0,35
South Korea,Seoul,0.0,61
United States of America,Vancouver,0.0,36
Canada,Courtenay,0.0,4
United States of America,Memphis,0.0,123
United States of America,Mesa,0.0,58
United States of America,Spokane,1.0,51
United States of America,Garden City,0.0,14
United States of America,Tacoma,0.0,73
United States of America,Charlottesville,0.0,39
Canada,Hamilton,0.0,4
United States of America,Whittier,0.0,10
United States of America,Chattanooga,0.0,64
United States of America,Farmington,0.0,38
