id,value
entertainment,
entertainment.Actually,21056.0
entertainment.Happened,30492.0
entertainment.Later,19341.0
entertainment.Look,60268.0
entertainment.Looks,21267.0
entertainment.Mesmerizing,29296.0
entertainment.New,31302.0
entertainment.Police,24004.0
entertainment.Teen,19722.0
entertainment.Years,19994.0
fashion,
fashion.Addicting,4174.0
fashion.Hudson,3216.0
fashion.Kate,3216.0
fashion.New,3325.0
fashion.Outfits,3243.0
fashion.Shopping,4174.0
fashion.Site,4220.0
fashion.Women,5800.0
fashion.Workout,3220.0
fashion.Year,3218.0
finance,
finance.Acre,3127.0
finance.Apple,3127.0
finance.Base,3127.0
finance.Big,3233.0
finance.Born,3729.0
finance.Leases,3127.0
finance.Military,3127.0
finance.New,4376.0
finance.Quietly,3128.0
finance.Win,4278.0
health,
health.Baffles,3974.0
health.Belly,5910.0
health.Booster,3974.0
health.Cause,6866.0
health.Every,4568.0
health.Heart,5089.0
health.Men,3999.0
health.Stages,4704.0
health.Weight,4174.0
health.Worst,4022.0
home,
home.Actually,3448.0
home.Buy,4377.0
home.Claim,3431.0
home.Craftsman,3343.0
home.Furniture,4528.0
home.Neighbors,3070.0
home.See,4653.0
home.Site,7029.0
home.Think,3067.0
home.Tools,3433.0
