id,value
entertainment,
entertainment.Already,876.0
entertainment.Ange,874.0
entertainment.Appears,873.0
entertainment.Brad,874.0
entertainment.Like,1544.0
entertainment.Looks,1624.0
entertainment.Losing,822.0
entertainment.Man,852.0
entertainment.Moved,874.0
entertainment.One,864.0
finance,
finance.Brilliant,478.0
finance.Earlier,301.0
finance.Knew,301.0
finance.Mortgage,472.0
finance.Paying,379.0
finance.Residents,363.0
finance.Shark,427.0
finance.Tank,427.0
finance.Tip,447.0
finance.Wish,310.0
food,
food.Actually,109.0
food.Cheaper,184.0
food.Important,109.0
food.Least,109.0
food.Local,184.0
food.Meal,192.0
food.Pretty,109.0
food.Service,187.0
food.Sexy,109.0
food.Store,186.0
home,
home.Best,213.0
home.Cleaning,91.0
home.Crazy,89.0
home.Going,101.0
home.Heard,158.0
home.Homeowners,81.0
home.Know,108.0
home.Never,165.0
home.Site,172.0
home.Vintage,162.0
lifestyle,
lifestyle.Account,356.0
lifestyle.Brace,369.0
lifestyle.Cancelling,355.0
lifestyle.Enter,263.0
lifestyle.Millions,254.0
lifestyle.Netflix,355.0
lifestyle.People,675.0
lifestyle.Real,252.0
lifestyle.Seconds,365.0
lifestyle.Site,261.0
